CHRG_DESC,PREM_DESC,ADDRESS,LAT_LONG,DATETIME,DOW,DISTRICT,CASE_NUMBER
LARCENY,RESIDENCE/HOME,257 LLOYD ST,"41.309165, -72.9008443",2020-01-31T22:47:00Z,FRI,8,20005561
LARCENY,PARKING LOT/GARAGE,139 LLOYD ST,"41.3053983, -72.899776",2020-02-01T10:06:00Z,SAT,8,20005605
LARCENY,PARKING LOT/GARAGE,276 GRAND AVE,"41.3085819, -72.89805880000002",2020-02-02T18:01:00Z,SUN,8,20005812
BURGLARY,RESIDENCE/HOME,85 SHERLAND AVE,"41.3072102, -72.8820781",2020-01-27T17:47:00Z,MON,9,20004711
BURGLARY,RESIDENCE/HOME,487 TOWNSEND AVE,"41.27010509999999, -72.8965688",2020-01-30T04:08:00Z,THU,9,20005178
INTIMIDATION WITH A WEAPON,STREET/HIGHWAY/ALLEYWAY,184 BARNES AVE,"41.3225845, -72.8760324",2020-01-27T17:51:00Z,MON,9,20004698
LARCENY,STREET/HIGHWAY/ALLEYWAY,4 CLIFTON ST,"41.3097696, -72.8850566",2020-01-27T08:29:00Z,MON,9,20004564
LARCENY,PARKING LOT/GARAGE,100 WARWICK ST,"41.2965645, -72.88731609999999",2020-01-28T09:33:00Z,TUE,9,20004794
ROBBERY,CONVENIENCE STORE,139 FARREN AVE,"41.298187, -72.892225",2020-01-27T18:13:00Z,MON,9,20004702
INTIMIDATION WITH A WEAPON,STREET/HIGHWAY/ALLEYWAY,GOFFE ST & ORCHARD ST,"41.317836, -72.9377574",2020-02-02T16:10:00Z,SUN,10,20005797
MOTOR VEHICLE THEFT,RESIDENCE/HOME,405 NORTON PKY,"41.32200659999999, -72.9433341",2020-01-29T07:15:00Z,WED,10,20004961
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,351 WHALLEY AVE,"41.3175797, -72.9442861",2020-02-01T23:07:00Z,SAT,10,20005715
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,227 DIAMOND ST,"41.3302466, -72.94807829999999",2020-01-31T07:38:00Z,FRI,10,20005403
ROBBERY,PARKING LOT/GARAGE,436 WHALLEY AVE,"41.3183954, -72.9481606",2020-02-02T11:07:00Z,SUN,10,20005767
AGGRAVATED ASSAULT,PARK/PLAYGROUND,250 TEMPLE ST,"41.3078919, -72.9266318",2020-02-17T19:42:00Z,MON,1,20008293
